STCNTYBR,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1001,476429.0,475936.0,477751.0,499980.0,496019.0,516136.0,530868.0,555303.0,562131.0,583319.0,610465.0
1003,3245341.0,3227940.0,3233012.0,3195652.0,3398703.0,3535368.0,3863945.0,3955597.0,4258074.0,4258005.0,4554035.0
1005,447636.0,442266.0,447141.0,424922.0,390154.0,399617.0,409403.0,423405.0,426786.0,428984.0,425195.0
1007,175414.0,171941.0,174260.0,176005.0,168543.0,169000.0,170558.0,171632.0,172609.0,179560.0,189246.0
1009,467608.0,439847.0,577424.0,542495.0,528620.0,535010.0,532577.0,549857.0,572665.0,609456.0,643220.0
1011,156171.0,139482.0,121489.0,115113.0,112623.0,114820.0,116359.0,115242.0,112331.0,115039.0,106841.0
1013,293912.0,291173.0,283832.0,290119.0,283139.0,278890.0,280006.0,287688.0,290218.0,284588.0,281484.0
1015,1636014.0,1656534.0,1606805.0,1646643.0,1660658.0,1589574.0,1598983.0,1713038.0,1769809.0,1886661.0,1976099.0
1017,304287.0,316486.0,303880.0,313331.0,300159.0,297801.0,290861.0,300892.0,309978.0,324957.0,337828.0
1019,265705.0,262325.0,256390.0,256022.0,258237.0,262473.0,268591.0,275117.0,277691.0,280798.0,284857.0
1021,400881.0,384435.0,366024.0,355145.0,355488.0,353490.0,363652.0,370838.0,381403.0,361244.0,376109.0
1023,219499.0,215146.0,214764.0,215363.0,211447.0,213558.0,205770.0,205717.0,206313.0,209349.0,210893.0
1025,516486.0,550312.0,540899.0,533546.0,515628.0,512873.0,512048.0,539824.0,553549.0,565429.0,599125.0
1027,197525.0,194775.0,194405.0,191077.0,192101.0,192997.0,181369.0,184771.0,185387.0,203030.0,204310.0
1029,178540.0,189009.0,189257.0,189819.0,188154.0,180226.0,180812.0,183729.0,188675.0,183296.0,154993.0
1031,646967.0,613603.0,597560.0,573985.0,552064.0,549834.0,595498.0,596607.0,624614.0,635916.0,641330.0
1033,738312.0,731014.0,734095.0,789839.0,838734.0,808698.0,933399.0,812588.0,908630.0,917933.0,919649.0
1035,120061.0,118748.0,111739.0,119494.0,114194.0,116027.0,113414.0,111240.0,115058.0,110533.0,105117.0
1037,15860.0,16896.0,18283.0,19263.0,18792.0,17967.0,17673.0,19482.0,20551.0,20253.0,19682.0
1039,722056.0,764441.0,727311.0,732004.0,750593.0,755493.0,762401.0,743065.0,746525.0,768030.0,783429.0
1041,193147.0,194815.0,191040.0,190862.0,193775.0,195484.0,194209.0,198092.0,204640.0,205885.0,202397.0
1043,1521254.0,1478841.0,1440471.0,1404978.0,1418021.0,1456883.0,1542846.0,1628259.0,1725191.0,1767385.0,1759773.0
1045,369559.0,363333.0,320739.0,310748.0,304747.0,314072.0,309739.0,317492.0,327136.0,316574.0,330494.0
1047,487304.0,503751.0,493717.0,474208.0,475787.0,474013.0,465568.0,443621.0,467142.0,468779.0,477305.0
1049,771201.0,773108.0,790842.0,781608.0,795949.0,819712.0,839186.0,858907.0,889572.0,910149.0,914002.0
1051,703496.0,725790.0,737137.0,741267.0,764349.0,765651.0,758602.0,830794.0,849128.0,868760.0,853725.0
1053,712960.0,694475.0,604450.0,596004.0,606513.0,598514.0,583810.0,590854.0,624072.0,645650.0,684452.0
1055,1140345.0,1135957.0,1146329.0,1050478.0,1055674.0,1052313.0,1069288.0,1139004.0,1178236.0,1152214.0,1137518.0
1057,276674.0,267613.0,263158.0,261171.0,256521.0,254576.0,255958.0,260992.0,260542.0,252465.0,247507.0
1059,526867.0,509706.0,543467.0,544139.0,529008.0,540887.0,525509.0,540713.0,551895.0,577700.0,595400.0
1061,445206.0,474037.0,489177.0,481194.0,441970.0,408298.0,390916.0,388322.0,391332.0,398515.0,402009.0
1063,47834.0,50560.0,52350.0,55620.0,59970.0,59983.0,59727.0,63803.0,60632.0,58704.0,64821.0
1065,233535.0,234969.0,263263.0,262413.0,262328.0,260937.0,241551.0,250690.0,248997.0,240552.0,234817.0
1067,246343.0,239769.0,239560.0,248472.0,240623.0,238225.0,232735.0,225266.0,237377.0,247058.0,254189.0
1069,2087856.0,2131189.0,2062682.0,2070358.0,2201260.0,2208397.0,2287816.0,2593275.0,2578900.0,2635184.0,2757655.0
1071,779410.0,763606.0,796429.0,798189.0,828956.0,811928.0,839688.0,871352.0,867757.0,890423.0,886284.0
1073,22349899.0,22613636.0,23760045.0,23965626.0,24771479.0,27498142.0,28563336.0,31679102.0,31800628.0,31593289.0,35967180.0
1075,345119.0,351082.0,338353.0,317531.0,307709.0,293273.0,285599.0,283728.0,272540.0,268444.0,269532.0
1077,1497439.0,1480573.0,1479547.0,1487412.0,1543673.0,1564667.0,1602473.0,1688566.0,1775625.0,1815020.0,1920075.0
1079,231006.0,226678.0,240289.0,229851.0,225819.0,232666.0,239643.0,250159.0,261749.0,247623.0,259122.0
1081,1904122.0,1921200.0,2000387.0,2105124.0,2099183.0,2173050.0,2258478.0,2481551.0,2712027.0,2900903.0,3080569.0
1083,789434.0,749828.0,711552.0,687822.0,688768.0,711915.0,711282.0,699476.0,745440.0,760970.0,784634.0
1085,105716.0,85757.0,83855.0,78631.0,78071.0,83059.0,80091.0,84447.0,85084.0,85748.0,86519.0
1087,104953.0,102158.0,107897.0,87014.0,92630.0,100403.0,99057.0,102905.0,107676.0,104359.0,104467.0
1089,6302211.0,6458013.0,6117420.0,5918872.0,6116958.0,6048996.0,6338512.0,6791552.0,7069840.0,7200120.0,7441043.0
1091,421576.0,414100.0,418137.0,408676.0,409780.0,407195.0,401089.0,401934.0,407386.0,409952.0,413701.0
1093,615845.0,631307.0,621981.0,606733.0,614501.0,614046.0,631213.0,636341.0,648831.0,637063.0,643884.0
1095,1507928.0,1525909.0,1487808.0,1467106.0,1469399.0,1475276.0,1483817.0,1545807.0,1655244.0,1727355.0,1769568.0
1097,5713082.0,5957088.0,6035488.0,5980050.0,6020694.0,6266677.0,6418244.0,6564624.0,7232549.0,7112689.0,7154201.0
1099,332156.0,329330.0,329192.0,328843.0,341609.0,336361.0,329655.0,340447.0,338512.0,348444.0,353975.0
1101,6468054.0,4582162.0,5915931.0,6589229.0,6492607.0,6122793.0,6134084.0,6251683.0,6619804.0,6400748.0,6925707.0
1103,1587867.0,1558217.0,1640700.0,1616629.0,1625274.0,1660273.0,1709868.0,1785558.0,1860101.0,1856276.0,1895580.0
1105,142789.0,147065.0,149360.0,152603.0,149076.0,145333.0,138361.0,137316.0,142191.0,138333.0,138626.0
1107,293368.0,308792.0,314160.0,305150.0,309493.0,309005.0,312471.0,313390.0,335191.0,326519.0,347216.0
1109,763887.0,839998.0,815655.0,842820.0,829766.0,828852.0,799036.0,804980.0,838298.0,834247.0,855804.0
1111,348564.0,336570.0,331894.0,325093.0,324859.0,314176.0,310681.0,317778.0,323083.0,316517.0,326006.0
1113,583772.0,575959.0,487358.0,478989.0,509242.0,501035.0,504618.0,505906.0,512337.0,550778.0,615392.0
1115,795786.0,782060.0,803560.0,803251.0,821951.0,804088.0,794985.0,802901.0,843748.0,850403.0,864671.0
1117,2532062.0,2449729.0,2516973.0,2454531.0,2622469.0,2664534.0,2760437.0,3053687.0,3194184.0,3234947.0,3390881.0
1119,164444.0,170367.0,168927.0,184871.0,190667.0,192635.0,178363.0,171238.0,167454.0,176157.0,197088.0
1121,849993.0,852558.0,813721.0,765184.0,753766.0,730217.0,759425.0,785760.0,812011.0,828135.0,854378.0
1123,568016.0,573190.0,563372.0,523256.0,530296.0,528371.0,526838.0,549012.0,574819.0,580381.0,604774.0
1125,2648198.0,2602192.0,2748943.0,2824294.0,2804746.0,2879427.0,3020640.0,3219179.0,3378713.0,3498479.0,3531892.0
1127,1002405.0,1004647.0,913363.0,918329.0,906595.0,882921.0,865579.0,873943.0,898536.0,899174.0,925456.0
1129,168120.0,170270.0,170086.0,175745.0,174310.0,166441.0,157158.0,160963.0,167862.0,170204.0,170957.0
1131,155250.0,156157.0,159701.0,159660.0,157627.0,159887.0,156201.0,158293.0,144106.0,142720.0,145377.0
1133,368772.0,359073.0,361205.0,354264.0,349523.0,347959.0,345657.0,352252.0,353456.0,353503.0,349819.0
2016,21844.0,22016.0,25317.0,26214.0,25267.0,26077.0,29772.0,29509.0,33416.0,32683.0,34567.0
2020,17845901.0,4340035.0,4483192.0,4999171.0,5173963.0,5396093.0,5968741.0,6345308.0,6267440.0,6086827.0,5818456.0
2050,88016.0,89951.0,78793.0,114031.0,99352.0,102582.0,109957.0,162435.0,126801.0,142306.0,154062.0
2060,16460.0,16548.0,18550.0,17603.0,17885.0,17682.0,20114.0,19610.0,21103.0,25186.0,27353.0
2068,,,,,,,,21265.0,22275.0,21067.0,16488.0
2070,61671.0,70881.0,82177.0,96892.0,89562.0,88787.0,93343.0,56823.0,45680.0,49467.0,50113.0
2090,1013268.0,1091906.0,1172671.0,1242356.0,1222079.0,1274082.0,1335756.0,1366585.0,1315387.0,1318786.0,1488343.0
2100,29985.0,33875.0,36851.0,38834.0,41942.0,42798.0,44343.0,48290.0,52702.0,52735.0,53500.0
2110,781643.0,851515.0,807791.0,874002.0,677201.0,719444.0,768173.0,782969.0,793385.0,784163.0,780274.0
2122,563198.0,595705.0,631035.0,675799.0,701061.0,734582.0,768134.0,795693.0,815302.0,808474.0,818035.0
2130,395005.0,389495.0,405437.0,416462.0,438752.0,498253.0,509086.0,513544.0,419582.0,423974.0,427215.0
2150,175141.0,192242.0,194289.0,227392.0,230391.0,252999.0,239129.0,245354.0,243973.0,233033.0,228910.0
2170,443315.0,468636.0,527100.0,543070.0,546019.0,575445.0,649558.0,655356.0,638870.0,612700.0,640573.0
2180,101926.0,135469.0,178579.0,190964.0,196348.0,224266.0,203501.0,231901.0,582250.0,522432.0,454717.0
2185,24067.0,23535.0,24911.0,24972.0,28059.0,32454.0,32109.0,34525.0,35818.0,37224.0,38457.0
2188,14638.0,15021.0,16281.0,19111.0,18363.0,16665.0,20617.0,21283.0,19827.0,20128.0,23811.0
2195,,,,,,133684.0,129637.0,132836.0,124773.0,105498.0,113518.0
2198,,,,,,56303.0,60494.0,66484.0,66947.0,71962.0,74442.0
2201,53910.0,55288.0,56255.0,56207.0,54008.0,,,,,,
2220,147950.0,149218.0,164873.0,168025.0,160203.0,169668.0,179179.0,187975.0,196859.0,202183.0,199910.0
2230,,,,,,25076.0,26208.0,30824.0,33520.0,34415.0,37383.0
2232,21646.0,20475.0,22980.0,23528.0,23767.0,,,,,,
