STNAMEBR,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,83429528.0,82059493.0,84217992.0,84594715.0,86102041.0,88903398.0,91442226.0,97111546.0,100424571.0,100931877.0,107614349.0
Alaska,22118192.0,8907321.0,9303475.0,10138518.0,10126826.0,10661883.0,11481434.0,12052051.0,12168954.0,11908192.0,11801599.0
Arizona,82259167.0,86146240.0,84757038.0,86752956.0,91855196.0,97220354.0,105623399.0,114676634.0,124708085.0,131673355.0,141851631.0
Arkansas,48537630.0,50877672.0,51988518.0,53384259.0,53116647.0,53811807.0,56497725.0,60770085.0,64161737.0,66661127.0,71022802.0
California,834349192.0,845691492.0,885006110.0,953488266.0,1015821377.0,1086090434.0,1161213120.0,1269490634.0,1353501664.0,1397409099.0,1459881342.0
Colorado,86098450.0,91225615.0,96395896.0,99634136.0,105676170.0,109415607.0,116721151.0,125337801.0,132584197.0,137652448.0,142644894.0
Connecticut,90638279.0,95830159.0,101504604.0,102651205.0,107088246.0,113194486.0,120399743.0,129216977.0,133294530.0,135538924.0,139821572.0
Delaware,170595638.0,290304691.0,323380741.0,363745983.0,396243346.0,415539631.0,344553476.0,356600131.0,358505331.0,398805023.0,379060652.0
District of Columbia,23057303.0,27360095.0,31664926.0,33135034.0,36465889.0,41313202.0,44775841.0,45996063.0,47135855.0,51442558.0,53321489.0
Florida,400978730.0,409893545.0,411157405.0,423907631.0,441108264.0,462364446.0,502929707.0,541660075.0,563792853.0,585831860.0,603468332.0
Georgia,186132037.0,180859140.0,182965001.0,186242989.0,187642255.0,197002674.0,213282287.0,225317093.0,240826362.0,250359707.0,256347033.0
Hawaii,28671093.0,28345654.0,30237269.0,33166534.0,33777805.0,36575935.0,38407433.0,40756473.0,44210816.0,44838924.0,44826611.0
Idaho,17991515.0,18661265.0,18866487.0,19490175.0,20225254.0,20551233.0,21771198.0,23202917.0,25046302.0,25926979.0,26901717.0
Illinois,360684791.0,361764785.0,370947246.0,393026185.0,408472361.0,435589565.0,465413386.0,473229977.0,479478281.0,482579125.0,500190440.0
Indiana,94164555.0,98449386.0,99494246.0,102166509.0,105190850.0,108005547.0,113401156.0,118780092.0,124439586.0,131405078.0,137928476.0
Iowa,64378920.0,66491241.0,70033972.0,72825523.0,73875397.0,75679893.0,78297487.0,80471168.0,83888033.0,86730103.0,90035952.0
Kansas,57762564.0,60031072.0,61094137.0,62909542.0,64546562.0,66385350.0,68159518.0,70381106.0,73328760.0,74623217.0,76435669.0
Kentucky,68704210.0,68869194.0,69060270.0,70913570.0,70525768.0,71297047.0,74726717.0,76523294.0,79290786.0,81800896.0,84252998.0
Louisiana,78827540.0,82817085.0,86819308.0,88771454.0,93507722.0,96152029.0,99971072.0,102149014.0,104702846.0,103515028.0,106471611.0
Maine,46642632.0,27598496.0,30694143.0,33579769.0,37735947.0,37787394.0,24926564.0,26790989.0,27924083.0,29418793.0,31805698.0
Maryland,108164912.0,112802000.0,115942755.0,120829935.0,121259543.0,123617636.0,130612348.0,136171426.0,142885770.0,144990716.0,149670973.0
Massachusetts,189870183.0,205201264.0,231325667.0,271509666.0,288381314.0,346200609.0,371438781.0,356367522.0,350006796.0,397357998.0,407502167.0
Michigan,163767093.0,155697795.0,157683542.0,166627322.0,168912677.0,176935025.0,190536264.0,200399519.0,210602492.0,217532592.0,227269235.0
Minnesota,115342990.0,129661957.0,150477910.0,200975063.0,211926060.0,254855681.0,213087062.0,222060502.0,234181047.0,230613974.0,236231647.0
Mississippi,44120934.0,45115810.0,46536836.0,46437404.0,47663828.0,47900066.0,49565071.0,50639689.0,53061218.0,53806139.0,55129030.0
Missouri,123851430.0,128956735.0,131521909.0,141785613.0,150589096.0,157689485.0,157147753.0,165985442.0,177519248.0,163010314.0,170395966.0
Montana,16527837.0,17546081.0,18009218.0,18895747.0,19883649.0,20611173.0,21346197.0,22309180.0,23000599.0,23757416.0,24459146.0
Nebraska,46312733.0,43025175.0,47879176.0,51666365.0,55128936.0,58085822.0,60384979.0,63088898.0,64351964.0,64422429.0,67147194.0
Nevada,195061523.0,183499457.0,259011088.0,112962920.0,133807665.0,148583779.0,169288937.0,204423116.0,231192461.0,274215972.0,279240066.0
New Hampshire,25019933.0,26366843.0,27081976.0,27915892.0,28239795.0,28897852.0,31273802.0,31901607.0,33080313.0,34430737.0,35401277.0
New Jersey,250063999.0,246492205.0,255399592.0,268444413.0,276313267.0,286333238.0,301749007.0,313790327.0,331060493.0,333931764.0,342874749.0
New Mexico,24843231.0,25789423.0,26227883.0,26180639.0,27157019.0,28278775.0,30156556.0,30683526.0,30559059.0,31335336.0,32215553.0
New York,791022426.0,854827571.0,990174454.0,1065665215.0,1147892634.0,1293244243.0,1381041586.0,1534329319.0,1683281581.0,1691550944.0,1744697497.0
