STCNTYBR,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1001,12.5,0.0,5.555555555555555,0.0,0.0,0.0,-5.263157894736842,0.0,-11.11111111111111,0.0
1003,1.0869565217391304,-1.0752688172043012,-2.1739130434782608,0.0,-2.2222222222222223,0.0,1.1363636363636365,2.247191011235955,-2.197802197802198,3.3707865168539324
1005,0.0,0.0,0.0,-7.142857142857142,0.0,0.0,0.0,0.0,-7.6923076923076925,0.0
1007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.5,0.0,0.0
1009,9.090909090909092,16.666666666666664,0.0,-7.142857142857142,0.0,-7.6923076923076925,0.0,0.0,8.333333333333332,7.6923076923076925
1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1013,0.0,0.0,0.0,-16.666666666666664,-10.0,0.0,0.0,0.0,0.0,0.0
1015,-8.333333333333332,3.0303030303030303,0.0,0.0,0.0,0.0,0.0,-2.941176470588235,-3.0303030303030303,0.0
1017,0.0,-20.0,12.5,0.0,0.0,0.0,0.0,0.0,-11.11111111111111,0.0
1019,12.5,0.0,0.0,0.0,-11.11111111111111,-12.5,0.0,0.0,0.0,0.0
1021,10.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,-8.333333333333332,0.0
1023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1025,0.0,0.0,0.0,0.0,0.0,0.0,-5.555555555555555,-17.647058823529413,7.142857142857142,-6.666666666666667
1027,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,25.0,-20.0
1029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.666666666666664,0.0,-20.0
1031,0.0,0.0,-6.666666666666667,0.0,0.0,0.0,0.0,-7.142857142857142,-7.6923076923076925,8.333333333333332
1033,0.0,0.0,0.0,0.0,0.0,0.0,-5.263157894736842,-11.11111111111111,-12.5,0.0
1035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1039,0.0,0.0,0.0,0.0,-6.666666666666667,0.0,0.0,0.0,-7.142857142857142,7.6923076923076925
1041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1043,-5.128205128205128,0.0,0.0,-8.108108108108109,0.0,-5.88235294117647,3.125,-3.0303030303030303,0.0,0.0
1045,0.0,-7.6923076923076925,0.0,-8.333333333333332,0.0,0.0,0.0,0.0,-9.090909090909092,0.0
1047,0.0,0.0,0.0,0.0,0.0,0.0,-8.333333333333332,-9.090909090909092,0.0,0.0
1049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1051,10.0,0.0,0.0,0.0,0.0,0.0,4.545454545454546,0.0,0.0,-13.043478260869565
1053,0.0,0.0,0.0,0.0,5.555555555555555,0.0,-5.263157894736842,0.0,0.0,5.555555555555555
1055,0.0,-3.571428571428571,0.0,0.0,-3.7037037037037033,-3.8461538461538463,0.0,0.0,-4.0,0.0
1057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1059,0.0,0.0,0.0,-5.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0
1061,0.0,0.0,0.0,-14.285714285714285,0.0,33.33333333333333,0.0,12.5,0.0,0.0
1063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1065,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.11111111111111
1069,-2.564102564102564,0.0,0.0,0.0,2.631578947368421,2.564102564102564,-2.5,-2.564102564102564,-5.263157894736842,-2.7777777777777777
1071,-4.545454545454546,0.0,0.0,0.0,-4.761904761904762,0.0,0.0,0.0,0.0,0.0
1073,-1.8867924528301887,0.0,1.4423076923076923,-0.9478672985781991,0.0,0.0,-1.9138755980861244,-0.4878048780487805,-1.9607843137254901,-2.5
1075,-10.0,0.0,0.0,0.0,0.0,-22.22222222222222,0.0,0.0,0.0,0.0
1077,0.0,0.0,0.0,2.857142857142857,0.0,-5.555555555555555,0.0,0.0,-2.941176470588235,3.0303030303030303
1079,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1081,0.0,0.0,0.0,2.5,2.4390243902439024,0.0,2.380952380952381,2.3255813953488373,0.0,-2.272727272727273
1083,0.0,-4.761904761904762,-5.0,0.0,-5.263157894736842,-11.11111111111111,0.0,0.0,6.25,5.88235294117647
1085,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0
1087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1089,-1.0638297872340425,2.1505376344086025,2.1052631578947367,5.154639175257731,1.9607843137254901,0.9615384615384616,0.0,-2.857142857142857,-0.9803921568627451,0.0
1091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1093,0.0,0.0,0.0,0.0,-6.25,0.0,0.0,-6.666666666666667,0.0,-7.142857142857142
1095,-2.564102564102564,0.0,0.0,-2.631578947368421,-2.7027027027027026,-2.7777777777777777,2.857142857142857,-2.7777777777777777,-2.857142857142857,0.0
1097,3.278688524590164,-1.5873015873015872,-0.8064516129032258,0.0,0.0,0.0,-3.2520325203252036,-2.5210084033613445,-2.586206896551724,-0.8849557522123894
1099,-9.090909090909092,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
1101,-2.7777777777777777,-1.4285714285714286,1.4492753623188406,1.4285714285714286,1.4084507042253522,-1.3888888888888888,0.0,-2.8169014084507045,-5.797101449275362,-3.076923076923077
1103,-2.631578947368421,2.7027027027027026,-2.631578947368421,2.7027027027027026,-7.894736842105263,0.0,0.0,-2.857142857142857,-2.941176470588235,3.0303030303030303
1105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1107,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1109,0.0,0.0,0.0,0.0,0.0,-8.333333333333332,-9.090909090909092,0.0,0.0,10.0
1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0
1113,0.0,-6.25,0.0,-6.666666666666667,-7.142857142857142,0.0,-7.6923076923076925,0.0,0.0,-8.333333333333332
1115,0.0,0.0,0.0,0.0,0.0,-4.166666666666666,-4.3478260869565215,-4.545454545454546,0.0,0.0
1117,3.125,0.0,-1.5151515151515151,-1.5384615384615385,-1.5625,-3.1746031746031744,-6.557377049180328,-1.7543859649122806,-1.7857142857142856,-1.8181818181818181
1119,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1121,0.0,0.0,0.0,0.0,-5.88235294117647,0.0,0.0,0.0,0.0,0.0
1123,-10.0,0.0,0.0,0.0,11.11111111111111,0.0,10.0,0.0,-9.090909090909092,0.0
1125,1.7857142857142856,-3.508771929824561,3.6363636363636362,1.7543859649122806,-1.7241379310344827,-5.263157894736842,3.7037037037037033,-1.7857142857142856,-3.6363636363636362,0.0
1127,0.0,-4.166666666666666,-4.3478260869565215,0.0,-4.545454545454546,-4.761904761904762,-5.0,0.0,0.0,0.0
1129,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0
1131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.33333333333333,50.0,0.0
1133,0.0,0.0,0.0,0.0,-8.333333333333332,-9.090909090909092,0.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,-2.7027027027027026,0.0,0.0,0.0,-2.7777777777777777,2.857142857142857,0.0,0.0,-2.7777777777777777,2.857142857142857
2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2068,,,,,,,,0.0,0.0,0.0
2070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2090,0.0,-4.3478260869565215,0.0,0.0,-4.545454545454546,0.0,-9.523809523809524,0.0,-10.526315789473683,0.0
2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2110,0.0,0.0,0.0,0.0,0.0,0.0,-7.6923076923076925,0.0,0.0,-16.666666666666664
2122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2130,0.0,0.0,0.0,0.0,0.0,-11.11111111111111,0.0,0.0,-12.5,0.0
2150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0
2170,0.0,0.0,0.0,0.0,0.0,-11.11111111111111,0.0,0.0,0.0,-12.5
2180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195,,,,,,0.0,0.0,0.0,0.0,0.0
2198,,,,,,0.0,0.0,0.0,0.0,0.0
2201,0.0,0.0,0.0,0.0,,,,,,
2220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2230,,,,,,0.0,0.0,0.0,0.0,0.0
2232,0.0,0.0,0.0,0.0,,,,,,
2240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2275,,,,,,0.0,0.0,0.0,0.0,0.0
2280,0.0,0.0,0.0,0.0,,,,,,
4001,0.0,0.0,0.0,0.0,-16.666666666666664,-20.0,25.0,0.0,0.0,0.0
4003,0.0,0.0,9.090909090909092,-4.166666666666666,-4.3478260869565215,-9.090909090909092,-5.0,0.0,-5.263157894736842,0.0
4005,-3.8461538461538463,-4.0,0.0,-4.166666666666666,0.0,-4.3478260869565215,-9.090909090909092,0.0,0.0,0.0
4007,-8.333333333333332,-9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,0.0,0.0
4012,0.0,0.0,0.0,0.0,0.0,0.0,-16.666666666666664,0.0,0.0,0.0
