STNAMEBR,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,-0.18975332068311196,-0.5069708491761723,0.12738853503184713,-0.38167938931297707,-0.8301404853128991,-1.28783000643915,-0.8480104370515329,-1.5789473684210527,-2.072192513368984,-0.614334470989761
Alaska,-0.7462686567164178,-0.7518796992481203,0.0,0.0,-1.5151515151515151,-0.7692307692307693,-1.550387596899225,0.0,-3.149606299212598,-1.6260162601626018
Arizona,-1.708185053380783,-1.3758146270818248,-0.14684287812041116,-1.6176470588235297,-1.7937219730941705,-2.054794520547945,-3.0303030303030303,-2.8846153846153846,-2.8877887788778875,-1.6992353440951573
Arkansas,-1.5272244355909694,0.06743088334457181,-2.4932614555256065,-0.3455425017277125,-3.744798890429958,-1.6570605187319885,-0.805860805860806,-0.5908419497784343,-0.07429420505200594,-0.966542750929368
California,-3.040129712201054,1.3795986622073577,0.28865979381443296,0.0,-0.3974780701754386,-2.3118205586899685,-1.5072545428933652,-1.2871853546910756,-0.8982903506230079,-1.5497076023391814
Colorado,0.060204695966285374,-1.263537906137184,-1.0968921389396709,-2.094886013555145,-1.0698552548772813,-1.8447837150127224,-1.6850291639662993,-1.7139090309822018,-0.6036217303822937,-2.496626180836707
Connecticut,0.6211180124223602,0.38580246913580246,-0.6149116064565718,-1.160092807424594,-1.486697965571205,-1.9062748212867358,-1.862348178137652,-2.392739273927393,-2.0287404902789516,-2.5884383088869716
Delaware,-0.36363636363636365,4.744525547445255,2.0905923344947737,-2.3890784982935154,-2.797202797202797,-1.4388489208633095,-1.4598540145985401,-1.1111111111111112,0.37453183520599254,-2.6119402985074625
District of Columbia,2.9535864978902953,0.0,0.0,-1.2295081967213115,-2.4896265560165975,-1.276595744680851,-1.293103448275862,-3.4934497816593884,-2.262443438914027,-2.314814814814815
Florida,-2.6460481099656357,-0.8824567596187787,-0.2670940170940171,-0.946259596500625,-1.766402307137707,-1.1559633027522935,-1.8563207722294413,-2.8560620389634956,-2.998442367601246,-3.331995182657567
Georgia,-2.887323943661972,-1.704133430021755,-2.213205459240133,-2.829121086382497,-1.9409937888198756,-1.741884402216944,-1.7324738114423852,-3.772037720377204,-1.4486578610992757,-2.637267617812365
